url,house_type,bathrooms,bedrooms,price,locality,condition,furnishing,24_hour_electricity,air_conditioning,apartment,balcony,chandelier,dining_area,dishwasher,hot_water,kitchen_cabinets,kitchen_shelf,microwave,pop_ceiling,pre_paid_meter,refrigerator,tv,tiled_floor,wardrobe,wi_fi,loc
https jiji com gh spintex houses apartments for rent bdrm house in community area spintex for rent crp wvdd vnweotshhey tox html,house,4,5,8000.0,spintex,newly built,unfurnished,1,0,0,1,0,1,0,0,1,1,0,1,1,0,0,1,0,1,spintex
https jiji com gh adjiriganor houses apartments for rent bdrm house in east legon adjiriganor for rent dq kw fv wdzcoog pxnazz html,house,2,2,2500.0,adjiriganor,fairly used,unfurnished,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,adjiriganor
https jiji com gh teshie houses apartments for rent bdrm apartment in legacy solid real teshie for rent n u jp f hkkmfbycrud qw html,apartment,1,1,1700.0,teshie,fairly used,unfurnished,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,teshie
https jiji com gh west hills mall houses apartments for rent bdrm apartment in west hills mall area for rent rgk bxfesxnypdt hvewmu html,apartment,3,3,3500.0,weija,newly built,unfurnished,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,weija
https jiji com gh weija houses apartments for rent bdrm apartment in franjie realty weija for rent ck yyhwitxpnvgl tuei nsb html,apartment,2,2,1600.0,weija,fairly used,unfurnished,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,weija
https jiji com gh east legon houses apartments for rent bdrm apartment in east legon hills for rent zpp qvysubeek iclxzbstq html,apartment,2,2,4500.0,east legon,fairly used,semi furnished,0,1,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1,0,east legon
https jiji com gh adjiriganor houses apartments for rent bdrm house in adjiriganor for rent dbfnwgrcgdf rhadtqyjgk html,house,4,4,26000.0,adjiriganor,newly built,semi furnished,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,adjiriganor
https jiji com gh tseaddo houses apartments for rent bdrm apartment in tse addo is tseaddo for rent fgnbgihn yv wpc yrxu uc html,apartment,1,1,7000.0,teshie,fairly used,semi furnished,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,teshie
https jiji com gh ashomang estate houses apartments for rent bdrm apartment in by bridge ashomang estate for rent mo ajf nuzppwtbcondvejx html,apartment,3,2,2600.0,ashomang estate,fairly used,unfurnished,1,0,0,1,0,1,0,0,1,1,0,1,1,0,0,1,0,0,ashomang estate
https jiji com gh spintex houses apartments for rent bdrm apartment in hfc estate spintex for rent ijounsihvncndnwmierd hbs html,apartment,1,1,1800.0,spintex,fairly used,unfurnished,1,0,0,1,0,1,0,0,1,1,0,1,1,0,0,1,0,1,spintex
https jiji com gh teshie houses apartments for rent bdrm house in ayathar bedroom teshie for rent aozlbkfufmbkhllutmwx u i html,house,5,4,5000.0,teshie,fairly used,semi furnished,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,teshie
https jiji com gh amasaman houses apartments for rent bdrm house in stadium junction amasaman for rent kke vkbmsh xidikypftzjrp html,house,1,1,600.0,ga west municipal,newly built,unfurnished,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,ga west municipal
https jiji com gh dansoman houses apartments for rent bdrm apartment in dansoman for rent ki wzpxhehdpssu jaeszo html,apartment,3,2,5000.0,dansoman,newly built,semi furnished,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,dansoman
https jiji com gh pillar houses apartments for rent bdrm apartment in ben baah property pillar for rent s knexdb b q yuejegly html,apartment,1,1,1500.0,dome,newly built,unfurnished,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dome market
https jiji com gh accra metropolitan houses apartments for rent bdrm house in east legon accra metropolitan for rent iepjemgzq j t h cnk etus html,house,6,5,43700.0,accra metropolitan,newly built,unfurnished,1,1,0,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0,accra metropolitan
https jiji com gh ghana flag houses apartments for rent bdrm house in oyarifa ghana flag for rent ppzwwn vlzjf klsw lxntbb html,house,2,2,3999.0,oyarifa,fairly used,semi furnished,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,oyarifa
https jiji com gh adjiriganor houses apartments for rent bdrm apartment in adjiriganor for rent pwmg rcujablnvwdwlpcgfqe html,apartment,5,4,16000.0,adjiriganor,newly built,semi furnished,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,adjiriganor
https jiji com gh dzorwulu houses apartments for rent bdrm house in dzorwulu for rent dicsx nhudmxkvvja da aru html,house,2,3,15000.0,dzorwulu,old,unfurnished,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dzorwulu
https jiji com gh dansoman houses apartments for rent bdrm apartment in dansoman for rent xbylex pqmu uymy i png html,apartment,3,2,4000.0,dansoman,newly built,unfurnished,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dansoman
https jiji com gh abelemkpe houses apartments for rent bdrm apartment in abelemkpe for rent ncagabttfkxmt mnmeij xu html,apartment,3,3,8000.0,abelemkpe,fairly used,unfurnished,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,abelemkpe
https jiji com gh adenta municipal houses apartments for rent bdrm apartment in adenta for rent i blvfkqwcc fds lo xog s html,apartment,2,2,4500.0,adenta,newly built,semi furnished,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0,adenta
https jiji com gh weija junction houses apartments for rent bdrm apartment in chis lon global weija junction for rent vto d nerxcykaeuuiwtumy html,apartment,4,3,3500.0,weija,newly built,unfurnished,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,weija
https jiji com gh west legon houses apartments for rent bdrm apartment in westlands for rent mzdik tyn fxg twaln vu a html,apartment,2,2,5000.0,west legon,fairly used,unfurnished,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,west legon
https jiji com gh teshie houses apartments for rent bdrm house in legacy solid real teshie for rent cayl w pwgzunu fzxnw c html,house,4,3,5500.0,teshie,renovated,semi furnished,1,1,0,1,0,1,1,1,1,0,0,1,1,0,0,1,1,0,teshie
https jiji com gh frafraha houses apartments for rent bdrm apartment in ashiyie frafraha for rent hcxdl toseugzefqz agle html,apartment,3,2,2500.0,adenta,fairly used,semi furnished,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,adenta
https jiji com gh accra metropolitan houses apartments for rent bdrm apartment in wisa group accra metropolitan for rent hyc avmac y swwzav hovb html,apartment,2,2,3000.0,accra metropolitan,newly built,semi furnished,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,accra metropolitan
https jiji com gh labone houses apartments for rent bdrm mansion in labone for rent jtutsmtpiarqhokynsptto html,mansion,5,5,45000.0,labone,fairly used,unfurnished,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,labone
https jiji com gh spintex houses apartments for rent bdrm apartment in lashibi spintex for rent jwvoek cx rqctqioxvm html,apartment,3,2,4000.0,spintex,newly built,unfurnished,1,0,0,0,0,1,0,1,1,1,0,1,1,0,0,1,1,0,spintex
https jiji com gh achimota houses apartments for rent bdrm house in achimota for rent nddvusrizmhopomzfwfwygp html,house,3,3,15600.0,achimota,newly built,unfurnished,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,achimota
https jiji com gh kwabenya houses apartments for rent bdrm house in kwabenya for rent osyckky xivfdwfbhwx ks html,house,5,4,7500.0,ga west municipal,newly built,semi furnished,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,ga west municipal
https jiji com gh ashaley botwe houses apartments for rent bdrm apartment in air conditioned ashaley botwe for rent qf zz z txq wy c ach html,apartment,3,2,3500.0,ashaley botwe,newly built,semi furnished,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,ashaley botwe
https jiji com gh tema metropolitan houses apartments for rent bdrm house in afienya tema metropolitan for rent no iov olmnahpjqax yntto html,house,5,5,8000.0,tema metropolitan,fairly used,unfurnished,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,tema metropolitan
https jiji com gh spintex houses apartments for rent bdrm house in spintex for rent yrk ezsdr rpxxhqqf rtucf html,house,4,4,14000.0,spintex,fairly used,semi furnished,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,spintex
https jiji com gh spintex houses apartments for rent bdrm apartment in spintex coastal down for rent wzho rhdweedpo jf fi html,apartment,1,1,1800.0,spintex,fairly used,unfurnished,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,spintex
https jiji com gh west legon houses apartments for rent furnished bdrm house in westland for rent x auhzyx gcnme qjmyoazt html,house,4,4,32000.0,west legon,fairly used,furnished,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,west legon
https jiji com gh ga south municipal houses apartments for rent bdrm apartment in naps real estate ga south municipal for rent lfv eqhj yckmoelxdn hhe html,apartment,3,2,2300.0,ga south municipal,newly built,unfurnished,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,ga south municipal
https jiji com gh east legon houses apartments for rent furnished bdrm apartment in east legon for rent bejcfung vc uymrybqa w f html,apartment,2,2,24000.0,east legon,fairly used,furnished,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,east legon
https jiji com gh north legon houses apartments for rent bdrm apartment in north legon for rent iuyh pgf xqtvd ybez iney html,apartment,3,2,3400.0,north legon,newly built,unfurnished,1,1,0,1,0,1,0,1,1,1,0,1,1,0,0,1,1,0,north legon
https jiji com gh pillar houses apartments for rent bdrm house in dome pillar for rent ccu iv r yxe th g bmleve html,house,3,3,19273.0,dome,fairly used,unfurnished,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,dome market
https jiji com gh pokuase houses apartments for rent bdrm apartment in beverly hills pokuase for rent qf rgqrn eiagjm oo cy g html,apartment,2,2,3500.0,pokuase,newly built,unfurnished,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,pokuase
https jiji com gh abokobi houses apartments for rent bdrm duplex in abokobi for rent dqpsrkjipnxzj qpgaeb mg html,duplex,3,3,4000.0,abokobi,fairly used,unfurnished,1,1,0,1,0,1,0,0,1,1,0,1,1,0,0,1,0,0,abokobi station
https jiji com gh spintex houses apartments for rent bdrm apartment in coastal estate area spintex for rent xwidfyqse r s ezxkomtiuo html,apartment,1,2,2200.0,spintex,fairly used,unfurnished,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,1,spintex
https jiji com gh accra metropolitan houses apartments for rent bdrm house in dansoman last stop accra metropolitan for rent zbt q o h rmvn cccwrjr html,house,1,3,2000.0,accra metropolitan,renovated,semi furnished,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,accra metropolitan
https jiji com gh sakumono houses apartments for rent bdrm duplex in sakumono for rent r zxeyxd cxrcsuzxvvzma t html,duplex,4,4,17000.0,tema metropolitan,newly built,unfurnished,1,1,0,1,0,1,0,1,1,1,0,1,1,0,0,1,1,0,tema metropolitan
https jiji com gh adenta municipal houses apartments for rent bdrm apartment in adenta for rent v o lnzduqqwz en bjnrfi html,apartment,2,2,2500.0,adenta,newly built,semi furnished,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,adenta
https jiji com gh spintex houses apartments for rent furnished bdrm apartment in spintex for rent iceua caacmq bqntxbym html,apartment,1,1,6000.0,spintex,fairly used,furnished,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,spintex
https jiji com gh ability houses apartments for rent bdrm house in e a propretis ability for rent ixetaencvfuzfggywoziilme html,house,4,3,21000.0,adjiriganor,newly built,semi furnished,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,adjiriganor
https jiji com gh pentecost abokobi houses apartments for rent furnished bdrm house in e a properties pentecost for rent wwpdumak lnta clradcpb html,house,3,2,10000.0,abokobi,newly built,furnished,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,abokobi station
https jiji com gh spintex houses apartments for rent bdrm apartment in batsonaa spintex for rent ro vljgbpaxkgfndfh njpjn html,apartment,3,2,3000.0,spintex,newly built,unfurnished,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,spintex
https jiji com gh manet court houses apartments for rent bdrm apartment in manet court for rent ohhqhnrg mocp zceimy df html,apartment,1,1,800.0,spintex,fairly used,unfurnished,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,spintex
https jiji com gh manet court houses apartments for rent bdrm house in unique key agency manet court for rent cchxks jdbpwluc flgacnni html,house,2,3,9720.0,spintex,fairly used,unfurnished,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,spintex
https jiji com gh spintex houses apartments for rent bdrm apartment in spintex for rent fn lfajntggteqsxkumnutlg html,apartment,2,2,2800.0,spintex,fairly used,unfurnished,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,1,0,spintex
https jiji com gh spintex houses apartments for rent bdrm house in for rent bedrooms for rent vc oxmkeereizkhtgey nwa html,house,5,4,17000.0,spintex,newly built,unfurnished,1,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,spintex
https jiji com gh sakumono houses apartments for rent furnished bdrm house in sakumono for rent jpd ehes shs e x iwffd html,house,1,1,6000.0,tema metropolitan,newly built,furnished,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tema metropolitan
https jiji com gh teshie houses apartments for rent bdrm house in tseaddo teshie for rent rurjdqzgxapo b bztppn ju html,house,1,1,2000.0,teshie,newly built,unfurnished,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,teshie
https jiji com gh little legon houses apartments for rent bdrm house in e a properties little legon for rent vb vln ilsdkptqxqcp h d html,house,5,4,5000.0,east legon,fairly used,semi furnished,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,east legon
https jiji com gh taifa burkina houses apartments for rent bdrm duplex in pleasantplaces taifa burkina for rent artrifpyv bkfuqck vadcf html,duplex,5,5,8000.0,taifa burkina,fairly used,unfurnished,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,taifa burkina
https jiji com gh pokuase houses apartments for rent bdrm house in franco estate pokuase for rent zixviuxiqzgjiou il xrpj html,house,5,6,8500.0,pokuase,fairly used,unfurnished,1,1,0,0,1,1,0,1,1,1,0,1,1,0,0,1,1,0,pokuase
https jiji com gh east legon houses apartments for rent bdrm house in charclem ventures east legon for rent uwhdr bawe mi e ohldrr html,house,4,4,51739.0,east legon,newly built,semi furnished,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,east legon
https jiji com gh roman ridge houses apartments for rent bdrm townhouse terrace in roman ridge for rent cutorgwmvrwztyrhqftl wg html,townhouse terrace,4,4,40000.0,roman ridge,renovated,unfurnished,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,roman ridge
https jiji com gh west hills mall houses apartments for rent bdrm apartment in west hills mall area for rent th egklujnsuegqzym uz yw html,apartment,3,2,3500.0,weija,newly built,unfurnished,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,weija
https jiji com gh east legon houses apartments for rent bdrm townhouse terrace in living large east legon for rent axbu r ykpsxf pmu b vyj html,townhouse terrace,4,3,9000.0,east legon,old,unfurnished,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,east legon
https jiji com gh kasoa houses apartments for rent bdrm apartment in kasoa for rent cpkqziwe qmj nbigi ek html,apartment,2,2,1600.0,kasoa,newly built,unfurnished,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,kasoa
https jiji com gh west hills mall houses apartments for rent bdrm apartment in west hills mall area for rent a sxrppjj a bvpjtwb rxie html,apartment,2,2,2000.0,weija,newly built,unfurnished,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,weija
https jiji com gh lake side estate houses apartments for rent furnished bdrm house in osben properties lake side estate for rent n zko qmtaek yd oejpdy html,house,4,4,16000.0,ashaley botwe,newly built,furnished,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ashaley botwe
https jiji com gh ga east municipal houses apartments for rent bdrm house in mattdeb enterprise ga east municipal for rent bccgzmgxkozt jjdmri jbvl html,house,4,4,6000.0,ga east municipal,fairly used,unfurnished,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,ga east municipal
https jiji com gh ga south municipal houses apartments for rent bdrm house in ga south municipal for rent rw li ixzdyhc bveheni b html,house,1,1,500.0,ga south municipal,fairly used,semi furnished,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,ga south municipal
https jiji com gh owusu ansah houses apartments for rent bdrm house in oyarifa owusu ansah for rent hs nwkfppquo q vlze gb p html,house,4,3,11250.0,oyarifa,newly built,unfurnished,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,oyarifa
https jiji com gh west hills mall houses apartments for rent bdrm room parlour in west hills mall area for rent ikv qvqk r qc qk pzpgd html,room parlour,1,1,1500.0,weija,newly built,unfurnished,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,weija
https jiji com gh kasoa houses apartments for rent bdrm apartment in kasoa for rent hkqclruwsgjuhhprfovurwvl html,apartment,1,1,950.0,kasoa,newly built,unfurnished,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,kasoa
https jiji com gh tseaddo houses apartments for rent bdrm apartment in ab majesty tseaddo for rent uc afloxirll zekf uckjy html,apartment,2,2,5000.0,teshie,newly built,unfurnished,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,teshie
https jiji com gh tema metropolitan houses apartments for rent bdrm house in tema metropolitan for rent t ubw rb lbotsxju cfhuj html,house,2,2,2000.0,tema metropolitan,fairly used,semi furnished,1,1,0,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0,tema metropolitan
https jiji com gh airport residential area houses apartments for rent furnished bdrm apartment in east airport for rent stnizqfao yzfvnadsfu uo html,apartment,8,6,30000.0,airport residential area,fairly used,furnished,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,airport residential area
https jiji com gh trade fair houses apartments for rent furnished bdrm apartment in east la trade fair for rent p b pdv tegjidceu veuw html,apartment,3,3,32548.0,labadi,newly built,furnished,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,labadi
https jiji com gh cantonments houses apartments for rent furnished bdrm apartment in embassy garden cantonments for rent joiugi zomi p ocx ozlpu html,apartment,1,1,21500.0,cantonments,fairly used,furnished,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,cantonments
https jiji com gh american house houses apartments for rent bdrm house in american house for rent fkzxncfvi ieg oqndbjzin html,house,3,3,19680.0,east legon,fairly used,semi furnished,1,1,0,0,0,1,0,1,1,1,0,1,1,0,0,1,1,0,east legon
https jiji com gh west hills mall houses apartments for rent bdrm apartment in westhills mall for rent p qvdyuclz whry ov c qrl html,apartment,3,3,3500.0,weija,newly built,semi furnished,1,0,0,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,weija
https jiji com gh pokuase houses apartments for rent bdrm apartment in pokuase for rent pxkawnygaaenp gzcvfztf f html,apartment,1,2,2800.0,pokuase,fairly used,unfurnished,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pokuase
https jiji com gh ga east municipal houses apartments for rent bdrm apartment in ga east hospital for rent tvk ppyrldduyf nce html,apartment,1,2,1900.0,ga east municipal,fairly used,unfurnished,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,ga east municipal
https jiji com gh accra metropolitan houses apartments for rent bdrm apartment in golf city accra metropolitan for rent pj nqgpyhxywfbqvcyljuqk html,apartment,3,2,1800.0,accra metropolitan,newly built,unfurnished,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,accra metropolitan
https jiji com gh east legon houses apartments for rent bdrm apartment in east legon for rent oyxj obxhtx bx sbo ouxuf html,apartment,3,3,13000.0,east legon,fairly used,unfurnished,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,east legon
https jiji com gh spintex houses apartments for rent furnished bdrm apartment in junction kfc spintex for rent c zdkztkuovgtibltzgykdft html,apartment,1,1,7000.0,spintex,fairly used,furnished,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,spintex
